geo,date,kpi,population,tv_spend,facebook_spend,instagram_spend,google_ads_spend,display_spend,email_spend
NYC,2023-01-01,150000,8400000,50000,15000,10000,20000,8000,2000
NYC,2023-01-02,165000,8400000,55000,16000,11000,22000,8500,2100
NYC,2023-01-03,155000,8400000,52000,14500,9500,21000,8200,1900
NYC,2023-01-04,170000,8400000,57000,16500,11500,23000,8700,2200
LA,2023-01-01,120000,3900000,40000,12000,8000,15000,6000,1500
LA,2023-01-02,130000,3900000,42000,13000,9000,16000,6500,1600
LA,2023-01-03,125000,3900000,41000,12500,8500,15500,6200,1550
LA,2023-01-04,135000,3900000,43000,13500,9500,16500,6700,1650
Chicago,2023-01-01,90000,2700000,30000,9000,6000,12000,4500,1200
Chicago,2023-01-02,95000,2700000,32000,9500,6500,13000,4800,1300
Chicago,2023-01-03,92000,2700000,31000,9200,6200,12500,4600,1250
Chicago,2023-01-04,97000,2700000,33000,9700,6700,13500,4900,1350
Miami,2023-01-01,70000,2100000,25000,7500,5000,10000,3500,1000
Miami,2023-01-02,75000,2100000,26000,8000,5500,11000,3800,1100
Miami,2023-01-03,72000,2100000,25500,7700,5200,10500,3600,1050
Miami,2023-01-04,77000,2100000,27000,8200,5700,11500,3900,1150
